PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2015,73,Fear Factor India,Endemol Argentina S.A.,Programa Televisivo,26/11/2015,26/11/2015,24 DE NOVIEMBRE 2274,24 DE NOVIEMBRE,2274,PARQUE PATRICIOS,COMUNA 4,1242,C1242AAV,"-58,40903875","-34,63729593"
2011,74,J.O.D.A,Montecarlo Films Srl,Cine Publicitario,20/11/2011,20/11/2011,24 DE NOVIEMBRE 818,24 DE NOVIEMBRE,818,SAN CRISTOBAL,COMUNA 3,1224,C1224AAH,"-58,41073444","-34,62063584"
2011,75,Ciudad De Cristos Y Hampones,Fundacion Del Cine,Estudiantes,11/6/2011,11/06/2011,24 DE NOVIEMBRE 850,24 DE NOVIEMBRE,850,SAN CRISTOBAL,COMUNA 3,1224,C1224AAH,"-58,41072521","-34,62100504"
2014,76,Noche,Enerc,Estudiantes,6/6/2014,06/06/2014,25 DE MAYO 100,25 DE MAYO,100,SAN NICOLAS,COMUNA 1,1002,C1002ABB,"-58,37090931","-34,60665258"
2013,77,Refugios,Fundacion Del Cine,Estudiantes,31/8/2013,31/08/2013,25 DE MAYO 101,25 DE MAYO,101,SAN NICOLAS,COMUNA 1,1002,C1002ABC,"-58,37084605","-34,6063158"
2015,78,Sin Hijos,Patagonik Film Group S.A.,Largometraje Con I.N.C.A.A.,16/2/2015,16/02/2015,25 DE MAYO 145,25 DE MAYO,145,SAN NICOLAS,COMUNA 1,1002,C1002ABC,"-58,3708678","-34,60596494"
2011,79,Juan Y Eva,Barakacine Srl,Largometraje Con I.N.C.A.A.,31/3/2011,31/03/2011,25 DE MAYO 201,25 DE MAYO,201,SAN NICOLAS,COMUNA 1,1002,C1002ABE,"-58,37090737","-34,6053033"
2015,80,Peugeot 308 Y 408,Rebolucion S.A.,Cine Publicitario,7/11/2015,07/11/2015,25 DE MAYO 220,25 DE MAYO,220,SAN NICOLAS,COMUNA 1,1002,C1002ABF,"-58,37098724","-34,60521037"
2011,81,El Liquidador,Fundacion Del Cine,Estudiantes,4/2/2011,04/02/2011,25 DE MAYO 300,25 DE MAYO,300,SAN NICOLAS,COMUNA 1,1002,C1002ABF,"-58,37104872","-34,60433701"
2012,82,Personal,Rebolucion S.A.,Cine Publicitario,14/7/2012,14/07/2012,25 DE MAYO 301,25 DE MAYO,301,SAN NICOLAS,COMUNA 1,1002,C1002ABG,"-58,37099045","-34,60414868"
2011,83,Head & Shoulders,Pioneras Producciones Sa,Cine Publicitario,25/2/2011,25/02/2011,25 DE MAYO 35,25 DE MAYO,35,SAN NICOLAS,COMUNA 1,1002,C1002ABA,"-58,37082568","-34,60697975"
2012,84,La Bolsa / Prende Y Apaga /rifle,Ladoblea S.A.,Cine Publicitario,31/10/2012,31/10/2012,25 DE MAYO 351,25 DE MAYO,351,SAN NICOLAS,COMUNA 1,1002,C1002ABG,"-58,37102564","-34,60352599"
2014,85,Eni. Logo Nuevo,Primo Audiovisual S.R.L.,Cine Publicitario,15/3/2014,15/03/2014,25 DE MAYO 351,25 DE MAYO,351,SAN NICOLAS,COMUNA 1,1002,C1002ABG,"-58,37102564","-34,60352599"
2012,86,Septimo,Capital Intelectual S.A.,Largometraje,7/11/2012,07/11/2012,25 DE MAYO 402,25 DE MAYO,402,SAN NICOLAS,COMUNA 1,1002,C1002ABJ,"-58,37115192","-34,60295038"
2015,87,Chevy,Goodgate Sa,Cine Publicitario,10/4/2015,10/04/2015,25 DE MAYO 425,25 DE MAYO,425,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37108711","-34,60276631"
2012,88,Anaflex,Enrique Heriberto Meziat,Cine Publicitario,19/5/2012,19/05/2012,25 DE MAYO 431,25 DE MAYO,431,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37108821","-34,6027516"
2013,89,Atunear,Pank Srl,Cine Publicitario,19/1/2013,19/01/2013,25 DE MAYO 437,25 DE MAYO,437,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37108821","-34,6027516"
2014,90,La Halle,Nube Pictures S.R.L.,Cine Publicitario,31/1/2014,31/01/2014,25 DE MAYO 447,25 DE MAYO,447,SAN NICOLAS,COMUNA 1,1002,C1002ABI,"-58,37109765","-34,60262499"
2013,91,Capsula,Oruga Films S.A.,Cine Publicitario,22/9/2013,22/09/2013,25 DE MAYO 450,25 DE MAYO,450,SAN NICOLAS,COMUNA 1,1002,C1002ABJ,"-58,37117447","-34,60255826"
2011,92,Erdf,Lomo Cine S.R.L.,Cine Publicitario,28/10/2011,28/10/2011,25 DE MAYO 450,25 DE MAYO,450,SAN NICOLAS,COMUNA 1,1002,C1002ABJ,"-58,37117447","-34,60255826"
